Title,Description,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass,RDataPath,Tags
Plasmodium falciparum 3D7 GCA_000002765,Genome data for Plasmodium falciparum 3D7 retrieved from NCBI.,3.18,GCA_000002765,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_000002765.3,10/22/2019,Plasmodium falciparum 3D7,,TRUE,Annotation submitted by Plasmodium falciparum Genome Sequencing Consortium,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/GCA_000002765.rds,"Plasmodium falciparum 3D7, Genome"
Plasmodium falciparum ASM3271220v1,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,ASM3271220v1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_032712205.1,10/16/2023,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/ASM3271220v1.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum ASM2444213v1,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,ASM2444213v1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_024442135.1,7/26/2022,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/ASM2444213v1.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum 3D7 ASM171558v1,Genome data for Plasmodium falciparum 3D7 retrieved from NCBI.,3.18,ASM171558v1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_001715585.1,8/29/2016,Plasmodium falciparum 3D7,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/ASM171558v1.rds,"Plasmodium falciparum 3D7, Genome"
Plasmodium knowlesi PkA1H1_v1,Genome data for Plasmodium knowlesi retrieved from NCBI.,3.18,PkA1H1_v1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900162085.1,9/19/2017,Plasmodium knowlesi,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PkA1H1_v1.rds,"Plasmodium knowlesi, Genome"
Plasmodium falciparum PfGN01-3,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,PfGN01-3,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900631995.1,12/11/2018,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PfGN01-3.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum PfCD01-2,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,PfCD01-2,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900617135.1,12/5/2018,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PfCD01-2.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum PfGA01-3,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,PfGA01-3,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900632005.1,12/11/2018,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PfGA01-3.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum PfSD01-3,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,PfSD01-3,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900632095.1,12/11/2018,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PfSD01-3.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum PfKH02-3,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,PfKH02-3,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900632015.1,12/11/2018,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PfKH02-3.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum PfKE01-3,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,PfKE01-3,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900631975.1,12/11/2018,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PfKE01-3.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum PfKH01-3,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,PfKH01-3,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900632025.1,12/11/2018,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PfKH01-3.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum PfHB3-3,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,PfHB3-3,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900631985.1,12/11/2018,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PfHB3-3.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum PfIT-3,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,PfIT-3,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900632055.1,12/11/2018,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PfIT-3.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum PfGB4-3,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,PfGB4-3,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900632035.1,12/11/2018,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PfGB4-3.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum PfTG01-3,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,PfTG01-3,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900632065.1,12/11/2018,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PfTG01-3.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum PfML01-3,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,PfML01-3,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900632085.1,12/11/2018,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PfML01-3.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum PfCO01_corrected_assembly,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,PfCO01_corrected_assembly,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_019802425.2,7/7/2023,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PfCO01_corrected_assembly.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum PfCO01_seq,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,PfCO01_seq,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_019802405.2,6/20/2023,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PfCO01_seq.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum Pf2004,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,Pf2004,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_019802415.2,5/23/2023,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/Pf2004.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum PfSN01-3,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,PfSN01-3,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900632075.1,12/11/2018,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PfSN01-3.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum PfKE07,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,PfKE07,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_019802515.2,5/16/2023,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PfKE07.rds,"Plasmodium falciparum, Genome"
Plasmodium vivax GCA_900093555,Genome data for Plasmodium vivax retrieved from NCBI.,3.18,GCA_900093555,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900093555.2,8/1/2019,Plasmodium vivax,,TRUE,Annotation submitted by WTSI,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/GCA_900093555.rds,"Plasmodium vivax, Genome"
Plasmodium vivax PvT01,Genome data for Plasmodium vivax retrieved from NCBI.,3.18,PvT01,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900093545.1,11/18/2016,Plasmodium vivax,,TRUE,Annotation submitted by WTSI,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PvT01.rds,"Plasmodium vivax, Genome"
Plasmodium vivax PvC01,Genome data for Plasmodium vivax retrieved from NCBI.,3.18,PvC01,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900093535.1,12/23/2016,Plasmodium vivax,,TRUE,Annotation submitted by WTSI,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PvC01.rds,"Plasmodium vivax, Genome"
Plasmodium vivax PvHMP-013,Genome data for Plasmodium vivax retrieved from NCBI.,3.18,PvHMP-013,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900178095.1,2/12/2019,Plasmodium vivax,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PvHMP-013.rds,"Plasmodium vivax, Genome"
Plasmodium vivax ASM1484367v1,Genome data for Plasmodium vivax retrieved from NCBI.,3.18,ASM1484367v1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_014843675.1,10/7/2020,Plasmodium vivax,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/ASM1484367v1.rds,"Plasmodium vivax, Genome"
Plasmodium vivax ASM1484393v1,Genome data for Plasmodium vivax retrieved from NCBI.,3.18,ASM1484393v1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_014843935.1,10/7/2020,Plasmodium vivax,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/ASM1484393v1.rds,"Plasmodium vivax, Genome"
Plasmodium vivax ASM1484368v1,Genome data for Plasmodium vivax retrieved from NCBI.,3.18,ASM1484368v1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_014843685.1,10/7/2020,Plasmodium vivax,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/ASM1484368v1.rds,"Plasmodium vivax, Genome"
Plasmodium vivax ASM1484394v1,Genome data for Plasmodium vivax retrieved from NCBI.,3.18,ASM1484394v1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_014843945.1,10/7/2020,Plasmodium vivax,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/ASM1484394v1.rds,"Plasmodium vivax, Genome"
Plasmodium knowlesi PKCLINC048,Genome data for Plasmodium knowlesi retrieved from NCBI.,3.18,PKCLINC048,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_023845535.1,6/22/2022,Plasmodium knowlesi,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PKCLINC048.rds,"Plasmodium knowlesi, Genome"
Plasmodium knowlesi StPkA1H1,Genome data for Plasmodium knowlesi retrieved from NCBI.,3.18,StPkA1H1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_023845515.1,6/22/2022,Plasmodium knowlesi,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/StPkA1H1.rds,"Plasmodium knowlesi, Genome"
Plasmodium knowlesi PKCLINC047,Genome data for Plasmodium knowlesi retrieved from NCBI.,3.18,PKCLINC047,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_023845545.1,6/22/2022,Plasmodium knowlesi,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PKCLINC047.rds,"Plasmodium knowlesi, Genome"
Plasmodium ovale PocGH01,Genome data for Plasmodium ovale retrieved from NCBI.,3.18,PocGH01,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900090035.2,12/13/2016,Plasmodium ovale,,TRUE,Annotation submitted by WTSI,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PocGH01.rds,"Plasmodium ovale, Genome"
Plasmodium ovale PowCR01,Genome data for Plasmodium ovale retrieved from NCBI.,3.18,PowCR01,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900090025.2,11/22/2016,Plasmodium ovale,,TRUE,Annotation submitted by WTSI,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PowCR01.rds,"Plasmodium ovale, Genome"
Plasmodium malariae PmlGA01,Genome data for Plasmodium malariae retrieved from NCBI.,3.18,PmlGA01,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_900090005.1,11/22/2016,Plasmodium malariae,,TRUE,Annotation submitted by WTSI,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/PmlGA01.rds,"Plasmodium malariae, Genome"
Plasmodium falciparum NF135.C10_v1,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,NF135.C10_v1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_009761425.1,12/18/2019,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/NF135.C10_v1.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum NF166_v1,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,NF166_v1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_009761515.1,12/18/2019,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/NF166_v1.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum ASM3071045v1,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,ASM3071045v1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_030710455.1,8/11/2023,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/ASM3071045v1.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum NF54_v1,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,NF54_v1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_009761475.1,12/18/2019,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/NF54_v1.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum ASM3071038v1,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,ASM3071038v1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_030710385.1,8/11/2023,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/ASM3071038v1.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum 7G8_v1,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,7G8_v1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_009761555.1,12/18/2019,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/7G8_v1.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum ASM3071048v1,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,ASM3071048v1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_030710485.1,8/11/2023,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/ASM3071048v1.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum ASM3071044v1,Genome data for Plasmodium falciparum retrieved from NCBI.,3.18,ASM3071044v1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_030710445.1,8/11/2023,Plasmodium falciparum,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/ASM3071044v1.rds,"Plasmodium falciparum, Genome"
Plasmodium falciparum NF54 ASM283179v1,Genome data for Plasmodium falciparum NF54 retrieved from NCBI.,3.18,ASM283179v1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_002831795.1,12/11/2017,Plasmodium falciparum NF54,,TRUE,Annotation submitted by Institut Pasteur,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/ASM283179v1.rds,"Plasmodium falciparum NF54, Genome"
Plasmodium falciparum NF54 ASM1289802v1,Genome data for Plasmodium falciparum NF54 retrieved from NCBI.,3.18,ASM1289802v1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_012898025.1,4/29/2020,Plasmodium falciparum NF54,,TRUE,Annotation submitted by Institut Pasteur,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/ASM1289802v1.rds,"Plasmodium falciparum NF54, Genome"
Plasmodium falciparum NF54 Plas_falc_NF4_V1,Genome data for Plasmodium falciparum NF54 retrieved from NCBI.,3.18,Plas_falc_NF4_V1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_000401695.2,1/17/2014,Plasmodium falciparum NF54,,TRUE,Annotation submitted by Broad Institute,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/Plas_falc_NF4_V1.rds,"Plasmodium falciparum NF54, Genome"
Plasmodium falciparum Dd2 ASM14979v1,Genome data for Plasmodium falciparum Dd2 retrieved from NCBI.,3.18,ASM14979v1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_000149795.1,9/22/2009,Plasmodium falciparum Dd2,,TRUE,Annotation submitted by Broad Institute,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/ASM14979v1.rds,"Plasmodium falciparum Dd2, Genome"
Plasmodium falciparum HB3 ASM14966v2,Genome data for Plasmodium falciparum HB3 retrieved from NCBI.,3.18,ASM14966v2,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_000149665.2,9/22/2009,Plasmodium falciparum HB3,,TRUE,Annotation submitted by Broad Institute,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/ASM14966v2.rds,"Plasmodium falciparum HB3, Genome"
Plasmodium falciparum K1 ASM15035v1,Genome data for Plasmodium falciparum K1 retrieved from NCBI.,3.18,ASM15035v1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_000150355.1,11/16/2007,Plasmodium falciparum K1,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/ASM15035v1.rds,"Plasmodium falciparum K1, Genome"
Plasmodium falciparum 398.1 398_1,Genome data for Plasmodium falciparum 398.1 retrieved from NCBI.,3.18,398_1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_001861305.1,11/2/2016,Plasmodium falciparum 398.1,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/398_1.rds,"Plasmodium falciparum 398.1, Genome"
Plasmodium falciparum 318.1 318_1,Genome data for Plasmodium falciparum 318.1 retrieved from NCBI.,3.18,318_1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_001861165.1,11/2/2016,Plasmodium falciparum 318.1,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/318_1.rds,"Plasmodium falciparum 318.1, Genome"
Plasmodium falciparum 366.1 366_1,Genome data for Plasmodium falciparum 366.1 retrieved from NCBI.,3.18,366_1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_001861275.1,11/2/2016,Plasmodium falciparum 366.1,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/366_1.rds,"Plasmodium falciparum 366.1, Genome"
Plasmodium falciparum 383.1 383_1,Genome data for Plasmodium falciparum 383.1 retrieved from NCBI.,3.18,383_1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_001861195.1,11/2/2016,Plasmodium falciparum 383.1,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/383_1.rds,"Plasmodium falciparum 383.1, Genome"
Plasmodium falciparum 309.1 309_1,Genome data for Plasmodium falciparum 309.1 retrieved from NCBI.,3.18,309_1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_001861135.1,11/2/2016,Plasmodium falciparum 309.1,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/309_1.rds,"Plasmodium falciparum 309.1, Genome"
Plasmodium falciparum 58.1 58_1,Genome data for Plasmodium falciparum 58.1 retrieved from NCBI.,3.18,58_1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_001861045.1,11/2/2016,Plasmodium falciparum 58.1,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/58_1.rds,"Plasmodium falciparum 58.1, Genome"
Plasmodium falciparum 303.1 303_1,Genome data for Plasmodium falciparum 303.1 retrieved from NCBI.,3.18,303_1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_001861075.1,11/2/2016,Plasmodium falciparum 303.1,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/303_1.rds,"Plasmodium falciparum 303.1, Genome"
Plasmodium falciparum 326.1 326_1,Genome data for Plasmodium falciparum 326.1 retrieved from NCBI.,3.18,326_1,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_001861235.1,11/2/2016,Plasmodium falciparum 326.1,,TRUE,,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/326_1.rds,"Plasmodium falciparum 326.1, Genome"
Plasmodium falciparum IGH-CR14 ASM18605v2,Genome data for Plasmodium falciparum IGH-CR14 retrieved from NCBI.,3.18,ASM18605v2,FASTA,https://www.ncbi.nlm.nih.gov/assembly/GCA_000186055.2,7/31/2015,Plasmodium falciparum IGH-CR14,,TRUE,Annotation submitted by Broad Institute,NCBI <ocheab1@gmail.com>,DNAStringSet,Rds,PlasmodiumgenomeData/ASM18605v2.rds,"Plasmodium falciparum IGH-CR14, Genome"
